image concentration x1 y1 x2 y2 x3 y3 x4 y4 rotation
IMG_0957 0 1862.527844 2313.580137 2184.222873 2305.136698 2190.977624 2596.435347 1869.282595 2605.723130 90.000000
IMG_0957 1 1849.862685 1955.578320 2166.491651 1942.913162 2178.312466 2239.277873 1859.994812 2242.655249 90.000000
IMG_0957 2 1837.197527 1600.109535 2152.137804 1589.133064 2163.958619 1878.743025 1848.173997 1889.719495 90.000000
IMG_0957 3 1822.843680 1253.928532 2138.628302 1241.263374 2149.604773 1525.807271 1832.131463 1535.095054 90.000000
IMG_0957 4 1805.112458 900.992778 2122.585768 889.171964 2135.250926 1177.937580 1820.297363 1186.942627 90.000000
IMG_0957 5 1792.447299 543.835305 2106.543233 529.481459 2119.208392 819.091419 1805.112458 835.978298 90.000000
IMG_0957 6 1774.716077 203.564710 2088.812011 195.965615 2103.165858 465.311322 1788.225580 477.976480 90.000000
IMG_0958 0 1862.527844 2313.580137 2184.222873 2305.136698 2190.977624 2596.435347 1869.282595 2605.723130 90.000000
IMG_0958 1 1849.862685 1955.578320 2166.491651 1942.913162 2178.312466 2239.277873 1859.994812 2242.655249 90.000000
IMG_0958 2 1837.197527 1600.109535 2152.137804 1589.133064 2163.958619 1878.743025 1848.173997 1889.719495 90.000000
IMG_0958 3 1822.843680 1253.928532 2138.628302 1241.263374 2149.604773 1525.807271 1832.131463 1535.095054 90.000000
IMG_0958 4 1805.112458 900.992778 2122.585768 889.171964 2135.250926 1177.937580 1820.297363 1186.942627 90.000000
IMG_0958 5 1792.447299 543.835305 2106.543233 529.481459 2119.208392 819.091419 1805.112458 835.978298 90.000000
IMG_0958 6 1774.716077 203.564710 2088.812011 195.965615 2103.165858 465.311322 1788.225580 477.976480 90.000000
IMG_0959 0 1867.592255 2310.203864 2189.287284 2301.760424 2196.042035 2593.059073 1874.347006 2602.346856 90.000000
IMG_0959 1 1853.238959 1952.202046 2169.867925 1939.536888 2181.688739 2235.901600 1863.371086 2239.278975 90.000000
IMG_0959 2 1841.417869 1594.201055 2156.358147 1583.224585 2168.178962 1872.834545 1852.394340 1883.811016 90.000000
IMG_0959 3 1826.219954 1248.020053 2142.004576 1235.354894 2152.981047 1519.898791 1835.507737 1529.186574 90.000000
IMG_0959 4 1809.332800 895.928368 2126.806110 884.107553 2139.471269 1172.873170 1824.517705 1181.878216 90.000000
IMG_0959 5 1796.667642 537.082757 2110.763576 522.728911 2123.428734 812.338872 1809.332800 829.225750 90.000000
IMG_0959 6 1778.092351 195.124025 2092.188285 187.524930 2106.542132 456.870637 1791.601854 469.535796 90.000000
IMG_0960 0 1870.121907 2315.263168 2191.816936 2306.819729 2198.571687 2598.118377 1876.876658 2607.406160 90.000000
IMG_0960 1 1860.827916 1955.574916 2177.456881 1942.909757 2189.277696 2239.274469 1870.960042 2242.651845 90.000000
IMG_0960 2 1845.633956 1598.417142 2160.574234 1587.440672 2172.395048 1877.050632 1856.610427 1888.027103 90.000000
IMG_0960 3 1830.436041 1248.863270 2146.220663 1236.198112 2157.197134 1520.742009 1839.723824 1530.029792 90.000000
IMG_0960 4 1814.392105 895.928368 2131.865414 884.107553 2144.530573 1172.873170 1829.577010 1181.878216 90.000000
IMG_0960 5 1800.040511 538.769192 2114.136445 524.415346 2126.801604 814.025306 1812.705670 830.912185 90.000000
IMG_0960 6 1784.838090 194.280808 2098.934024 186.681713 2113.287871 456.027420 1798.347593 468.692578 90.000000
IMG_0961 0 1872.656585 2311.883597 2194.351614 2303.440158 2201.106366 2594.738806 1879.411337 2604.026589 90.000000
IMG_0961 1 1859.983023 1953.040237 2176.611988 1940.375079 2188.432803 2236.739791 1870.115150 2240.117166 90.000000
IMG_0961 2 1844.789063 1596.727357 2159.729341 1585.750886 2171.550156 1875.360847 1855.765534 1886.337317 90.000000
IMG_0961 3 1832.970719 1248.863270 2148.755341 1236.198112 2159.731812 1520.742009 1842.258502 1530.029792 90.000000
IMG_0961 4 1814.392105 894.238582 2131.865414 882.417767 2144.530573 1171.183384 1829.577010 1180.188431 90.000000
IMG_0961 5 1801.730297 535.389621 2115.826231 521.035774 2128.491390 810.645735 1814.395456 827.532613 90.000000
IMG_0961 6 1783.993198 194.280808 2098.089131 186.681713 2112.442978 456.027420 1797.502700 468.692578 90.000000
IMG_0962 0 1878.563118 2318.633919 2200.258147 2310.190480 2207.012898 2601.489129 1885.317869 2610.776912 90.000000
IMG_0962 1 1861.670603 1954.727818 2178.299569 1942.062660 2190.120384 2238.427371 1871.802730 2241.804747 90.000000
IMG_0962 2 1847.320434 1600.102518 2162.260712 1589.126047 2174.081527 1878.736008 1858.296905 1889.712479 90.000000
IMG_0962 3 1836.345881 1252.238432 2152.130503 1239.573273 2163.106973 1524.117170 1845.633664 1533.404953 90.000000
IMG_0962 4 1816.923476 896.769953 2134.396785 884.949138 2147.061944 1173.714755 1832.108381 1182.719802 90.000000
IMG_0962 5 1806.793039 538.764782 2120.888973 524.410936 2133.554132 814.020896 1819.458198 830.907775 90.000000
IMG_0962 6 1787.368359 194.280808 2101.464293 186.681713 2115.818139 456.027420 1800.877861 468.692578 90.000000
IMG_0963 0 1877.717125 2318.633919 2199.412155 2310.190480 2206.166906 2601.489129 1884.471877 2610.776912 90.000000
IMG_0963 1 1863.362588 1957.265795 2179.991554 1944.600637 2191.812369 2240.965349 1873.494715 2244.342724 90.000000
IMG_0963 2 1850.704404 1599.256526 2165.644682 1588.280055 2177.465496 1877.890016 1861.680875 1888.866486 90.000000
IMG_0963 3 1836.345881 1252.238432 2152.130503 1239.573273 2163.106973 1524.117170 1845.633664 1533.404953 90.000000
IMG_0963 4 1816.923476 898.461938 2134.396785 886.641123 2147.061944 1175.406740 1832.108381 1184.411786 90.000000
IMG_0963 5 1806.793039 539.610775 2120.888973 525.256928 2133.554132 814.866889 1819.458198 831.753767 90.000000
IMG_0963 6 1789.906336 195.126800 2104.002270 187.527705 2118.356117 456.873412 1803.415839 469.538571 90.000000
IMG_0964 0 1925.882819 2061.070506 2170.542806 2050.267338 2162.917040 2175.456993 1927.789260 2195.156888 90.000000
IMG_0964 1 1914.444170 1885.677892 2173.084728 1864.071555 2172.449248 2012.773989 1922.705417 2022.941677 90.000000
IMG_0964 2 1901.734561 1678.511254 2181.345974 1646.101749 2174.991169 1822.129843 1911.902248 1850.726465 90.000000
IMG_0964 3 1885.992728 1423.306239 2181.345974 1403.983684 2178.168572 1604.795517 1897.921678 1629.579256 90.000000
IMG_0964 4 1868.509051 1161.102119 2186.429818 1141.530243 2181.345974 1351.874284 1880.128224 1372.845140 90.000000
IMG_0964 5 1845.812278 840.947973 2194.055584 826.967403 2187.700779 1087.514402 1863.605731 1102.765933 90.000000
IMG_0964 6 1812.767293 443.772670 2195.962025 420.895372 2201.435148 757.689934 1837.551032 780.577327 90.000000
IMG_0965 0 1927.227881 2051.511161 2172.846291 2041.408604 2168.426422 2167.059153 1929.753521 2182.212988 90.000000
IMG_0965 1 1917.125325 1879.767697 2176.634749 1857.036945 2171.583471 2007.312475 1924.702242 2014.257983 90.000000
IMG_0965 2 1903.865719 1674.559515 2176.634749 1647.408894 2176.003340 1817.258128 1915.231095 1845.671568 90.000000
IMG_0965 3 1888.711884 1423.889827 2181.345974 1403.983684 2176.634749 1603.210208 1900.077260 1629.729420 90.000000
IMG_0965 4 1868.509051 1165.521987 2186.429818 1145.950112 2181.345974 1356.294152 1881.134967 1373.377044 90.000000
IMG_0965 5 1847.038838 849.938326 2194.055584 833.281501 2188.631535 1088.611228 1864.086902 1107.553521 90.000000
IMG_0965 6 1812.942709 453.412977 2193.436386 428.472290 2195.577043 763.435185 1840.724740 786.165937 90.000000
IMG_0966 0 1929.100202 2028.419201 2174.718612 2018.316645 2166.215645 2139.461658 1931.625842 2159.121028 90.000000
IMG_0966 1 1917.821055 1857.365289 2174.953143 1835.521544 2171.208501 1984.059012 1923.438018 1992.172403 90.000000
IMG_0966 2 1906.587129 1653.906404 2178.697785 1627.069802 2178.697785 1796.826909 1916.572841 1822.415296 90.000000
IMG_0966 3 1886.839563 1406.414831 2179.473653 1386.508687 2179.945999 1581.509991 1899.721952 1610.218913 90.000000
