image concentration x1 y1 x2 y2 x3 y3 x4 y4
IMG_2966 0 17 39 329 39 332 397 22 398
IMG_2966 1 391 41 711 37 715 394 393 395
IMG_2966 2 770 36 1091 34 1098 389 780 394
IMG_2966 3 1149 35 1462 35 1468 387 1157 390
IMG_2966 4 1522 33 1837 27 1839 376 1525 384
IMG_2966 5 1896 25 2211 18 2219 367 1898 375
IMG_2966 6 2270 13 2562 11 2563 357 2279 365
IMG_2967 0 20 84 471 81 472 590 32 591
IMG_2967 1 552 91 1006 78 1014 589 558 590
IMG_2967 2 1088 81 1541 74 1555 578 1104 585
IMG_2967 3 1624 77 2069 74 2076 575 1635 579
IMG_2967 4 2151 76 2596 58 2601 561 2156 574
IMG_2967 5 2679 61 3126 47 3140 545 2686 556
IMG_2967 6 3210 42 3625 36 3626 527 3223 539
IMG_2968 0 21 89 472 86 473 596 33 597
IMG_2968 1 553 92 1008 79 1015 590 559 591
IMG_2968 2 1090 86 1543 79 1557 584 1106 591
IMG_2968 3 1625 82 2070 78 2077 579 1636 584
IMG_2968 4 2153 83 2598 65 2603 567 2158 580
IMG_2968 5 2681 67 3129 54 3142 551 2688 563
IMG_2968 6 3216 52 3630 46 3632 537 3228 549
IMG_2969 0 15 65 333 63 335 421 20 421
IMG_2969 1 392 70 711 63 720 418 396 421
IMG_2969 2 768 63 1088 58 1099 414 778 417
IMG_2969 3 1148 59 1462 56 1469 410 1153 414
IMG_2969 4 1520 60 1834 47 1842 402 1523 408
IMG_2969 5 1893 49 2208 39 2223 391 1897 400
IMG_2969 6 2270 38 2562 34 2566 381 2276 389
IMG_2970 0 15 65 333 63 335 421 20 421
IMG_2970 1 392 70 711 63 720 418 396 421
IMG_2970 2 768 63 1088 58 1099 414 778 417
IMG_2970 3 1148 59 1462 56 1469 410 1153 414
IMG_2970 4 1520 60 1834 47 1842 402 1523 408
IMG_2970 5 1893 49 2208 39 2223 391 1897 400
IMG_2970 6 2270 38 2562 34 2566 381 2276 389
IMG_2971 0 18 92 468 89 472 598 26 598
IMG_2971 1 555 97 1007 87 1019 591 560 595
IMG_2971 2 1088 89 1541 82 1557 587 1103 591
IMG_2971 3 1626 83 2071 80 2080 581 1634 587
IMG_2971 4 2153 85 2598 67 2610 570 2158 579
IMG_2971 5 2681 69 3129 56 3143 550 2689 561
IMG_2971 6 3216 51 3630 46 3635 538 3224 549
IMG_2972 0 12 65 331 63 333 421 18 421
IMG_2972 1 391 68 711 61 719 417 395 419
IMG_2972 2 768 63 1088 58 1099 414 778 417
IMG_2972 3 1148 59 1462 56 1469 410 1153 414
IMG_2972 4 1520 60 1834 47 1842 402 1523 408
IMG_2972 5 1893 49 2208 39 2219 387 1898 395
IMG_2972 6 2270 36 2562 32 2566 379 2276 387
