image concentration x1 y1 x2 y2 x3 y3 x4 y4
IMG20250924165408 0 28 37 387 43 386 438 32 433
IMG20250924165408 1 456 47 815 47 815 445 453 441
IMG20250924165408 2 881 48 1240 51 1239 448 882 446
IMG20250924165408 3 1307 53 1661 59 1656 451 1305 450
IMG20250924165408 4 1725 59 2077 59 2076 450 1721 452
IMG20250924165408 5 2142 59 2493 59 2495 449 2142 451
IMG20250924165408 6 2559 55 2889 59 2880 447 2558 450
IMG20250924165411 0 33 37 389 45 386 443 33 436
IMG20250924165411 1 458 49 816 49 816 446 455 443
IMG20250924165411 2 878 52 1238 56 1237 453 879 451
IMG20250924165411 3 1309 56 1663 62 1658 453 1307 453
IMG20250924165411 4 1726 64 2078 64 2077 455 1722 457
IMG20250924165411 5 2147 64 2499 64 2500 454 2148 456
IMG20250924165411 6 2564 60 2893 64 2884 453 2563 455
IMG20250924165414 0 35 36 391 44 389 441 36 434
IMG20250924165414 1 463 48 821 48 821 446 459 442
IMG20250924165414 2 885 48 1244 51 1243 448 886 446
IMG20250924165414 3 1313 54 1667 60 1661 452 1310 451
IMG20250924165414 4 1731 64 2083 64 2082 454 1727 456
IMG20250924165414 5 2147 64 2499 64 2500 454 2148 456
IMG20250924165414 6 2565 59 2895 64 2886 452 2566 453
IMG20250924165419 0 47 33 401 42 399 439 46 432
IMG20250924165419 1 469 49 827 49 827 446 465 443
IMG20250924165419 2 893 51 1252 55 1252 452 894 450
IMG20250924165419 3 1318 57 1672 64 1667 455 1312 453
IMG20250924165419 4 1733 67 2085 67 2084 458 1729 460
IMG20250924165419 5 2147 67 2499 67 2500 457 2148 459
IMG20250924165419 6 2566 66 2896 71 2887 459 2567 460
IMG20250924165422 0 48 36 402 44 399 442 47 435
IMG20250924165422 1 468 51 826 51 826 449 464 446
IMG20250924165422 2 893 53 1252 57 1252 453 894 452
IMG20250924165422 3 1317 61 1671 67 1666 459 1311 457
IMG20250924165422 4 1732 69 2084 69 2083 460 1728 461
IMG20250924165422 5 2146 71 2498 71 2500 460 2147 462
IMG20250924165422 6 2566 67 2896 71 2887 460 2567 460
IMG20250924165424 0 49 46 403 55 400 453 47 446
IMG20250924165424 1 471 62 829 62 829 460 468 456
IMG20250924165424 2 896 64 1255 68 1254 465 897 463
IMG20250924165424 3 1319 72 1673 79 1668 470 1313 468
IMG20250924165424 4 1733 81 2085 81 2084 472 1729 474
IMG20250924165424 5 2150 82 2502 82 2504 472 2151 474
IMG20250924165424 6 2566 80 2896 85 2887 473 2567 474
IMG20250924165426 0 49 46 403 55 400 453 47 446
IMG20250924165426 1 471 62 829 62 829 460 468 456
IMG20250924165426 2 896 64 1255 68 1254 465 897 463
IMG20250924165426 3 1319 72 1673 79 1668 470 1313 468
IMG20250924165426 4 1733 81 2085 81 2084 472 1729 474
IMG20250924165426 5 2150 82 2502 82 2504 472 2151 474
IMG20250924165426 6 2566 80 2896 85 2887 473 2567 474
