image concentration x1 y1 x2 y2 x3 y3 x4 y4
20250924_165134 0 27 34 492 45 483 552 26 543
20250924_165134 1 578 48 1036 56 1028 563 569 552
20250924_165134 2 1116 65 1572 72 1569 572 1114 564
20250924_165134 3 1655 79 2101 86 2094 582 1648 577
20250924_165134 4 2182 86 2630 86 2621 586 2173 584
20250924_165134 5 2713 91 3161 91 3157 587 2705 585
20250924_165134 6 3246 95 3677 98 3654 594 3237 593
20250924_165136 0 28 29 493 41 484 547 27 538
20250924_165136 1 576 47 1034 55 1026 562 567 550
20250924_165136 2 1116 62 1572 69 1569 568 1114 560
20250924_165136 3 1655 72 2101 80 2094 575 1648 571
20250924_165136 4 2182 86 2630 86 2621 586 2173 584
20250924_165136 5 2719 88 3167 88 3162 584 2711 582
20250924_165136 6 3246 91 3672 92 3652 586 3235 585
20250924_165139 0 27 23 492 34 483 540 26 531
20250924_165139 1 576 41 1034 48 1026 555 567 544
20250924_165139 2 1113 56 1570 63 1567 563 1112 555
20250924_165139 3 1658 65 2101 80 2094 575 1648 571
20250924_165139 4 2181 82 2629 82 2620 582 2172 579
20250924_165139 5 2717 83 3164 83 3160 579 2708 577
20250924_165139 6 3246 91 3672 92 3652 586 3235 585
20250924_165143 0 30 14 495 25 486 531 29 522
20250924_165143 1 579 35 1037 43 1029 549 570 538
20250924_165143 2 1118 47 1574 54 1572 554 1117 546
20250924_165143 3 1661 54 2104 69 2097 564 1651 559
20250924_165143 4 2181 71 2629 71 2620 571 2172 568
20250924_165143 5 2720 77 3168 77 3163 574 2712 572
20250924_165143 6 3252 76 3678 78 3657 572 3240 571
20250924_165145 0 30 15 495 26 486 533 29 524
20250924_165145 1 579 35 1037 43 1029 549 570 538
20250924_165145 2 1120 52 1577 58 1574 558 1119 550
20250924_165145 3 1661 56 2104 71 2097 566 1651 562
20250924_165145 4 2181 71 2635 73 2620 571 2172 568
20250924_165145 5 2720 77 3168 77 3163 574 2712 572
20250924_165145 6 3253 78 3679 79 3659 573 3242 572
20250924_165148 0 34 4 498 15 490 521 32 512
20250924_165148 1 586 19 1044 27 1036 534 577 522
20250924_165148 2 1122 36 1579 43 1576 543 1121 535
20250924_165148 3 1662 43 2105 57 2098 553 1652 548
20250924_165148 4 2191 57 2645 60 2630 557 2182 555
20250924_165148 5 2728 64 3176 64 3171 560 2720 558
20250924_165148 6 3259 59 3682 64 3662 558 3245 557
20250924_165149 0 36 20 501 31 492 530 35 521
20250924_165149 1 593 41 1051 49 1043 547 583 536
20250924_165149 2 1129 43 1586 50 1583 557 1121 548
20250924_165149 3 1671 56 2114 70 2105 571 1662 562
20250924_165149 4 2199 74 2652 77 2638 566 2190 564
20250924_165149 5 2733 75 3181 75 3171 576 2721 574
20250924_165149 6 3265 80 3686 87 3671 583 3254 582
