image concentration replicate x y semiMajorAxis semiMinorAxis rotationAngle
IMG_0957_con_0.jpeg 0 1 82 154 21 21 0
IMG_0957_con_0.jpeg 0 2 147 123 21 21 0
IMG_0957_con_0.jpeg 0 3 216 151 21 21 0
IMG_0958_con_0.jpeg 0 1 81 156 21 21 0
IMG_0958_con_0.jpeg 0 2 146 126 21 21 0
IMG_0958_con_0.jpeg 0 3 213 155 21 21 0
IMG_0959_con_0.jpeg 0 1 81 155 21 21 0
IMG_0959_con_0.jpeg 0 2 147 125 21 21 0
IMG_0959_con_0.jpeg 0 3 214 154 21 21 0
IMG_0960_con_0.jpeg 0 1 81 155 21 21 0
IMG_0960_con_0.jpeg 0 2 147 124 21 21 0
IMG_0960_con_0.jpeg 0 3 214 153 21 21 0
IMG_0961_con_0.jpeg 0 1 83 155 21 21 0
IMG_0961_con_0.jpeg 0 2 148 125 21 21 0
IMG_0961_con_0.jpeg 0 3 215 153 21 21 0
IMG_0962_con_0.jpeg 0 1 81 156 21 21 0
IMG_0962_con_0.jpeg 0 2 146 125 21 21 0
IMG_0962_con_0.jpeg 0 3 214 154 21 21 0
IMG_0963_con_0.jpeg 0 1 78 154 21 21 0
IMG_0963_con_0.jpeg 0 2 144 125 21 21 0
IMG_0963_con_0.jpeg 0 3 212 153 21 21 0
IMG_0957_con_1.jpeg 1 1 84 155 21 21 0
IMG_0957_con_1.jpeg 1 2 150 124 21 21 0
IMG_0957_con_1.jpeg 1 3 215 151 21 21 0
IMG_0958_con_1.jpeg 1 1 84 156 21 21 0
IMG_0958_con_1.jpeg 1 2 150 126 21 21 0
IMG_0958_con_1.jpeg 1 3 216 153 21 21 0
IMG_0959_con_1.jpeg 1 1 84 154 21 21 0
IMG_0959_con_1.jpeg 1 2 150 125 21 21 0
IMG_0959_con_1.jpeg 1 3 215 152 21 21 0
IMG_0960_con_1.jpeg 1 1 84 157 21 21 0
IMG_0960_con_1.jpeg 1 2 151 126 21 21 0
IMG_0960_con_1.jpeg 1 3 216 155 21 21 0
IMG_0961_con_1.jpeg 1 1 88 156 21 21 0
IMG_0961_con_1.jpeg 1 2 154 126 21 21 0
IMG_0961_con_1.jpeg 1 3 219 154 21 21 0
IMG_0962_con_1.jpeg 1 1 85 157 21 21 0
IMG_0962_con_1.jpeg 1 2 151 126 21 21 0
IMG_0962_con_1.jpeg 1 3 216 154 21 21 0
IMG_0963_con_1.jpeg 1 1 83 153 21 21 0
IMG_0963_con_1.jpeg 1 2 150 123 21 21 0
IMG_0963_con_1.jpeg 1 3 214 151 21 21 0
IMG_0957_con_2.jpeg 2 1 85 153 21 21 0
IMG_0957_con_2.jpeg 2 2 150 122 21 21 0
IMG_0957_con_2.jpeg 2 3 216 150 21 21 0
IMG_0958_con_2.jpeg 2 1 86 153 21 21 0
IMG_0958_con_2.jpeg 2 2 151 122 21 21 0
IMG_0958_con_2.jpeg 2 3 218 150 21 21 0
IMG_0959_con_2.jpeg 2 1 85 156 21 21 0
IMG_0959_con_2.jpeg 2 2 150 125 21 21 0
IMG_0959_con_2.jpeg 2 3 215 154 21 21 0
IMG_0960_con_2.jpeg 2 1 84 157 21 21 0
IMG_0960_con_2.jpeg 2 2 149 126 21 21 0
IMG_0960_con_2.jpeg 2 3 215 154 21 21 0
IMG_0961_con_2.jpeg 2 1 84 156 21 21 0
IMG_0961_con_2.jpeg 2 2 150 125 21 21 0
IMG_0961_con_2.jpeg 2 3 215 152 21 21 0
IMG_0962_con_2.jpeg 2 1 86 154 21 21 0
IMG_0962_con_2.jpeg 2 2 151 122 21 21 0
IMG_0962_con_2.jpeg 2 3 216 151 21 21 0
IMG_0963_con_2.jpeg 2 1 85 151 21 21 0
IMG_0963_con_2.jpeg 2 2 151 121 21 21 0
IMG_0963_con_2.jpeg 2 3 216 148 21 21 0
IMG_0957_con_3.jpeg 3 1 84 152 21 21 0
IMG_0957_con_3.jpeg 3 2 148 121 21 21 0
IMG_0957_con_3.jpeg 3 3 211 148 21 21 0
IMG_0958_con_3.jpeg 3 1 89 154 21 21 0
IMG_0958_con_3.jpeg 3 2 154 123 21 21 0
IMG_0958_con_3.jpeg 3 3 217 151 21 21 0
IMG_0959_con_3.jpeg 3 1 88 156 21 21 0
IMG_0959_con_3.jpeg 3 2 152 123 21 21 0
IMG_0959_con_3.jpeg 3 3 216 151 21 21 0
IMG_0960_con_3.jpeg 3 1 86 156 21 21 0
IMG_0960_con_3.jpeg 3 2 150 125 21 21 0
IMG_0960_con_3.jpeg 3 3 214 152 21 21 0
IMG_0961_con_3.jpeg 3 1 86 156 21 21 0
IMG_0961_con_3.jpeg 3 2 150 125 21 21 0
IMG_0961_con_3.jpeg 3 3 214 152 21 21 0
IMG_0962_con_3.jpeg 3 1 86 156 21 21 0
IMG_0962_con_3.jpeg 3 2 150 125 21 21 0
IMG_0962_con_3.jpeg 3 3 215 152 21 21 0
IMG_0963_con_3.jpeg 3 1 85 154 20 20 0
IMG_0963_con_3.jpeg 3 2 150 122 20 20 0
IMG_0963_con_3.jpeg 3 3 214 149 20 20 0
IMG_0957_con_4.jpeg 4 1 86 157 21 21 0
IMG_0957_con_4.jpeg 4 2 150 126 21 21 0
IMG_0957_con_4.jpeg 4 3 215 152 21 21 0
IMG_0958_con_4.jpeg 4 1 89 158 22 22 0
IMG_0958_con_4.jpeg 4 2 153 127 22 22 0
IMG_0958_con_4.jpeg 4 3 218 154 22 22 0
IMG_0959_con_4.jpeg 4 1 90 157 21 21 0
IMG_0959_con_4.jpeg 4 2 154 126 21 21 0
IMG_0959_con_4.jpeg 4 3 220 152 21 21 0
IMG_0960_con_4.jpeg 4 1 89 156 21 21 0
IMG_0960_con_4.jpeg 4 2 153 125 21 21 0
IMG_0960_con_4.jpeg 4 3 219 151 21 21 0
IMG_0961_con_4.jpeg 4 1 90 156 21 21 0
IMG_0961_con_4.jpeg 4 2 154 125 21 21 0
IMG_0961_con_4.jpeg 4 3 220 151 21 21 0
IMG_0962_con_4.jpeg 4 1 88 156 21 21 0
IMG_0962_con_4.jpeg 4 2 153 125 21 21 0
IMG_0962_con_4.jpeg 4 3 219 152 21 21 0
IMG_0963_con_4.jpeg 4 1 89 155 21 21 0
IMG_0963_con_4.jpeg 4 2 153 124 21 21 0
