image concentration replicate x y semiMajorAxis semiMinorAxis rotationAngle
IMG20250924165408_con_0.jpg 0 1 94 176 26 26 0
IMG20250924165408_con_0.jpg 0 2 171 141 26 26 0
IMG20250924165408_con_0.jpg 0 3 249 178 26 26 0
IMG20250924165411_con_0.jpg 0 1 92 177 26 26 0
IMG20250924165411_con_0.jpg 0 2 170 143 26 26 0
IMG20250924165411_con_0.jpg 0 3 248 181 26 26 0
IMG20250924165414_con_0.jpg 0 1 93 175 26 26 0
IMG20250924165414_con_0.jpg 0 2 172 143 26 26 0
IMG20250924165414_con_0.jpg 0 3 249 180 26 26 0
IMG20250924165419_con_0.jpg 0 1 93 178 26 26 0
IMG20250924165419_con_0.jpg 0 2 171 145 26 26 0
IMG20250924165419_con_0.jpg 0 3 250 183 26 26 0
IMG20250924165422_con_0.jpg 0 1 91 178 26 26 0
IMG20250924165422_con_0.jpg 0 2 170 145 26 26 0
IMG20250924165422_con_0.jpg 0 3 247 183 26 26 0
IMG20250924165424_con_0.jpg 0 1 91 177 26 26 0
IMG20250924165424_con_0.jpg 0 2 169 145 26 26 0
IMG20250924165424_con_0.jpg 0 3 246 183 26 26 0
IMG20250924165426_con_0.jpg 0 1 93 177 26 26 0
IMG20250924165426_con_0.jpg 0 2 171 145 26 26 0
IMG20250924165426_con_0.jpg 0 3 248 184 26 26 0
IMG20250924165408_con_1.jpg 1 1 100 174 25 25 0
IMG20250924165408_con_1.jpg 1 2 180 141 25 25 0
IMG20250924165408_con_1.jpg 1 3 256 175 25 25 0
IMG20250924165411_con_1.jpg 1 1 100 174 25 25 0
IMG20250924165411_con_1.jpg 1 2 180 141 25 25 0
IMG20250924165411_con_1.jpg 1 3 256 175 25 25 0
IMG20250924165414_con_1.jpg 1 1 100 174 25 25 0
IMG20250924165414_con_1.jpg 1 2 180 141 25 25 0
IMG20250924165414_con_1.jpg 1 3 255 175 25 25 0
IMG20250924165419_con_1.jpg 1 1 101 173 25 25 0
IMG20250924165419_con_1.jpg 1 2 180 141 25 25 0
IMG20250924165419_con_1.jpg 1 3 255 176 25 25 0
IMG20250924165422_con_1.jpg 1 1 101 173 25 25 0
IMG20250924165422_con_1.jpg 1 2 180 141 25 25 0
IMG20250924165422_con_1.jpg 1 3 255 176 25 25 0
IMG20250924165424_con_1.jpg 1 1 100 173 25 25 0
IMG20250924165424_con_1.jpg 1 2 180 141 25 25 0
IMG20250924165424_con_1.jpg 1 3 254 176 25 25 0
IMG20250924165426_con_1.jpg 1 1 100 173 25 25 0
IMG20250924165426_con_1.jpg 1 2 180 141 25 25 0
IMG20250924165426_con_1.jpg 1 3 254 176 25 25 0
IMG20250924165408_con_2.jpg 2 1 97 177 24 24 0
IMG20250924165408_con_2.jpg 2 2 177 143 24 24 0
IMG20250924165408_con_2.jpg 2 3 254 181 24 24 0
IMG20250924165411_con_2.jpg 2 1 101 175 24 24 0
