image concentration replicate x y semiMajorAxis semiMinorAxis rotationAngle
20250924_165134_con_0.jpg 0 1 119 225 32 32 0
20250924_165134_con_0.jpg 0 2 222 184 32 32 0
20250924_165134_con_0.jpg 0 3 323 234 32 32 0
20250924_165136_con_0.jpg 0 1 120 224 32 32 0
20250924_165136_con_0.jpg 0 2 222 184 32 32 0
20250924_165136_con_0.jpg 0 3 322 233 32 32 0
20250924_165139_con_0.jpg 0 1 122 225 32 32 0
20250924_165139_con_0.jpg 0 2 224 184 32 32 0
20250924_165139_con_0.jpg 0 3 323 235 32 32 0
20250924_165143_con_0.jpg 0 1 120 226 32 32 0
20250924_165143_con_0.jpg 0 2 221 184 32 32 0
20250924_165143_con_0.jpg 0 3 321 234 32 32 0
20250924_165145_con_0.jpg 0 1 121 227 32 32 0
20250924_165145_con_0.jpg 0 2 220 186 32 32 0
20250924_165145_con_0.jpg 0 3 321 236 32 32 0
20250924_165148_con_0.jpg 0 1 120 223 32 32 0
20250924_165148_con_0.jpg 0 2 219 183 32 32 0
20250924_165148_con_0.jpg 0 3 322 232 32 32 0
20250924_165149_con_0.jpg 0 1 120 220 32 32 0
20250924_165149_con_0.jpg 0 2 221 180 32 32 0
20250924_165149_con_0.jpg 0 3 324 229 32 32 0
20250924_165134_con_1.jpg 1 1 129 228 32 32 0
20250924_165134_con_1.jpg 1 2 231 187 32 32 0
20250924_165134_con_1.jpg 1 3 327 233 32 32 0
20250924_165136_con_1.jpg 1 1 131 222 32 32 0
20250924_165136_con_1.jpg 1 2 232 181 32 32 0
20250924_165136_con_1.jpg 1 3 330 227 32 32 0
20250924_165139_con_1.jpg 1 1 133 224 32 32 0
20250924_165139_con_1.jpg 1 2 234 185 32 32 0
20250924_165139_con_1.jpg 1 3 331 230 32 32 0
20250924_165143_con_1.jpg 1 1 131 220 32 32 0
20250924_165143_con_1.jpg 1 2 232 180 32 32 0
20250924_165143_con_1.jpg 1 3 329 227 32 32 0
20250924_165145_con_1.jpg 1 1 132 226 32 32 0
20250924_165145_con_1.jpg 1 2 232 185 32 32 0
20250924_165145_con_1.jpg 1 3 328 231 32 32 0
20250924_165148_con_1.jpg 1 1 128 223 32 32 0
